"transcriber","alignment"
"A","B3b3B3b3A3A3A3A3A3G3G3A3G3G3G3G3G3A3A3A3A3G3G3G3G3G3"
"ss-pnn","C4b3----A3B3A3A3b3----A3a3a3a3----A3A3a3--G3a3G3G3G3"
