"transcriber","alignment"
"C","G3G3F3F3F3b3A3a3a3G3F3F3F3G3b3b3--A3G3G3--F3F3F3C4C4C4C4G3b3"
"tony (frame)","G3--F3----b3A3a3--G3F3----G3b3A3B3A3G3G3g3F3F3F3d4C4B3d4G3b3"
