"transcriber","alignment"
"Cons","C4C4A3C4C4A3C4A3C4C4C4A3C4C4C4C4A3C4C4A3C4C4C4A3C4C4C4C4A3C4C4A3C4C4C4A3C4C4C4C4A3C4"
"crepe","C4--A3----A3--A3C4C4--A3C4C4C4C4A3C4C4----------------------------------------------"
