"transcriber","alignment"
"Cons","e4e4G4b4b4b4a4G4F4e4C5C5b4a4G4F4G4F4e4C4b3b3e4e4G4F4F4a4G4G4G4b3e4e4G4F4b4a4F4e4"
"tony (note)","e4E4a4b4a4b4a4a4F3e3d4C5b4a4G4--G4F4D4--b3b3e3--G4F4F3a3G3----b3e4e4g4--b4a4--e4"
