"transcriber","alignment"
"Pub","b3D4D4D4D4b3C4b3b3D4D4b3b3D4D4b3b3b3D4D4D4D4b3C4b3b3D4D4b3b3D4D4b3b3b3D4D4D4D4b3C4b3b3G3C4"
"spice","--D4B3----b3B3b3D4A3D4A3B3d4D4b3B3b3----------C4B3b3D4B3b3d4D4B3----------------C4B3b3d4--"
