"transcriber","alignment"
"A","A3C4C4A3C4A3C4C4C4A3A3C4C4C4C4A3C4C4A3C4C4C4A3C4C4C4C4A3C4C4A3C4C4A3C4C4A3C4C4C4A3C4C4C4C4A3"
"ad-nnmf","B3G3G3G3------------------------------------------------------------------------------------"
