"transcriber","alignment"
"B","--b3C4b3D4b3--a3b3C4b3--C4b3a3a4a3----b3C4--b3C4b3a3b3C4b3----------"
"melodia","B3b3B3b3C4b3G3a3b3B3b3A3C4b3a3G3a3a3A3b3B3A3b3A3b3B3b3C4b3A3G3a3b3B3"
