"transcriber","alignment"
"A","B3b3B3b3A3A3A3A3A3G3G3A3G3G3G3G3G3A3A3A3A3G3G3G3G3G3"
"crepe","B3b3B3--A3a3A3a3--G3a3--G3--------A3A3A3a3G3G3a3G3--"
