"transcriber","alignment"
"A","D3D3e3D3e3D3D3b2b2b2b2b2b2b2D2D2D2D2D2D2D2D3D3D3C3b2D3b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2"
"ss-pnn","D3--e3D3d3----b2B2D3A2b2------------------------C3b2B2b2B2b2B2b2--------------------------------------"
