"transcriber","alignment"
"Pub","g4g4g4g4g4g4E4d4g4g4g4g4g4E4d4g4g4g4g4g4E4d4g4g4g4g4g4g4g4E4d4g4g4g4g4g4g4g4g4E4d4g4g4g4g4g4g4g4E4d4g4g4g4g4g4g4g4E4d4"
"melodia","F4g4D4B4g4G4----g4D4g4D4g4F4--g4----------d4B4g4g4--------------------------------------------------------------------"
