"transcriber","alignment"
"A","D4A3D4D4A3d3E3A3A3E3A3D4D4E3D4A3A3E3D3--E3C3--"
"tony (frame)","A2D3D4--A3e3D3A2C2D2D2e3A2E3A2A2C4e4b2A2E3E3D3"
