"transcriber","alignment"
"B","a3d4e4E4E4E4g4e4E4g4e4E4e4d4C4d4C4d4e4E4g4e4E4e4E4e4d4B3d4e4E4E4E4e4g4E4e4E4E4g4e4E4E4E4e4d4B3d4d4"
"ss-pnn","--d4--E4E4E4----E4F4------d4D4d4C4d4--E4----E4e4F4D4d4F4E4F4E4E4F4e4--E4e4C4--------------d4D4d4d4"
