"transcriber","alignment"
"Pub","g4g4g4g4g4g4E4d4g4g4g4g4g4E4d4g4g4g4g4g4E4d4g4g4g4g4g4g4g4E4d4g4g4g4g4g4g4g4g4E4d4g4g4g4g4g4g4g4E4d4g4g4g4g4g4g4g4E4d4"
"tony (frame)","C3g4D4b3B2C3D4B3C4B2------E4D4B2F4D4F4g4----g4--------------d4B2--------------E4D4B3D2B2g4D4--------------------------"
