"transcriber","alignment"
"A","G4G4G4G4C4e4D4C4C4C4C4G3C4G4G4G4G4C4E4D4C4C4C4C4G3C4G4C4C4E4D4C4C4C4C4G3C4G4G4G4G4C4G3"
"spice","G4G4g4a4------------------------------------------------------------------------------"
