"transcriber","alignment"
"Pub","G3G3F3F3F3F3A3A3A3A3A3G3F3F3F3G3A3b3A3G3G3F3F3F3C4C4C4C4G3b3"
"ad-nnmf","XX----------------------------------------------------------"
