"transcriber","alignment"
"C","A3F3e4D4F3e3D3D3b3A3D3E3E3D3D3G3F3C3A2A2A2A2F3C3A2A3A3d4d4d4A3d4A3A3A3F3b3A3F3E3D3D3b3A3D3E3E3D3D3G3F3C3A2A2A2A2"
"ss-pnn","b3b3g3--F3e3----------E3e3d3----F3----------------A3b3D4D4--------------b3g3--------b3----E3E3e3----------------"
