"transcriber","alignment"
"A","D4A3D4D4A3d3E3A3A3E3A3D4D4E3D4A3A3----------------E3D3E3C3"
"tony (note)","A2e3D4A3A3e3D3A2A2A2C2D2D2E3A2E3A2g3A2C4e4e3b2A2A2E3A2E3D3"
