"transcriber","alignment"
"Cons","e5d5d5B4A4--B4F4A4G4D4G4G4D5d5B4e5d5g4e5d5B4a4B4"
"ss-pnn","e5d5d5B4A4a4B4F4g4G4D4G4--D5d5B4e5d5g4D5d5B4a4B4"
