"transcriber","alignment"
"Pub","a3b3C4b3C4b3a3b3C4b3a3a4a3a3b3C4--b3C4b3a3b3C4--b3"
"stf","b3b3--b3G3--a3b3B3b3b3--a3a3b3B3A3b3B3b3b3G3a3B3b3"
