"transcriber","alignment"
"B","B3d4d4d4d4B3d4d4d4--d4----d4a3a3g3B3d4d4d4d4--d4B3E4E4E4d4B3a3g3"
"tony (frame)","B4C5E3E4B4b4B4C5B2g2d4b3B3d4B4C5E3C5B2C4d4B3e4d4a3g3B4b4C5E3e3C5"
