"transcriber","alignment"
"C","D3A2A2A2A2g2A2g2A2E2E2g2E2D2A2g2A2E2E2g2E2D2A2g2D3A2A2A2A2g2A2g2A2E2E2g2E2D2A2g2A2E2E2g2E2D2"
"ad-nnmf","D3D3D3------------------------------------------D3------------------------------------------"
