"transcriber","alignment"
"C","A3A3A3A3A3d4E4A4F4G4A4A4F4D4C4A3G3C4A3G3G3"
"crepe","A3A3A3d4F4a4g4--F4G4a4b4--D4d4A3B3a3------"
