"transcriber","alignment"
"A","F2b2b2--D3D3b2D3F3D3F3F3F3D3D3b2D3D3D3D3F3D3F3F3F3D3D3b2"
"tony (note)","a2b2b2d3D3D3A2D3E3D3F3F3F3D3D3D3b2D3E3D3e3E3F3F3D3E3D3A2"
