"transcriber","alignment"
"A","D3--A2g2A2g2A2E2--D2A2g2A2E2A2g2D3A2g2A2g2A2E2D2A2g2A2E2D2"
"tony (note)","D3b2A2g2A2g2a2E2F2D2A2g2A2F2A2F2d3A2g2A2g2a2E2g2A2g2a2E2F2"
