"transcriber","alignment"
"B","--B3b3a3G3b3a3b3a3b3a3E3d3e3d3e3E3a3E3e3E3e3"
"tony (frame)","b3B3b3a3G3b3a3G3----------e3d3e3E3a3G3--E3--"
