"transcriber","alignment"
"Pub","F3E3D3A3D3A3D3C3A2b2D3g3A3D4A3D4A3g3A3g3E3D3g3A3D3F3E3D3F3D3B2A2"
"ss-pnn","b3g3F3e3E3e3d3F3--------A3b3--D4b3g3b3--E3e3--------------------"
