"transcriber","alignment"
"Cons","E4B3E4a4g4E4a4g4E4B3E4g4E4d4B3E4a4g4E4B3E4g4E4d4B3E4a4g4E4B3e4d4B3e4d4B3e4--d4B3e4d4B3"
"madmom","C4e4G4--g4e4G4e4C4b3e4G4----------g4E4e4b3e4E4d4b3e4----E4G4e4d4C4--d4B3e4C4d4B3--d4--"
