"transcriber","alignment"
"C","----b3B3b3d4b3a3b3B3b3d4b3a3a4a3b3B3--b3d4b3a3b3B3b3----"
"crepe","A3B3b3B3b3C4b3a3b3B3b3C4b3a3G3a3A3B3A3b3B3b3C4b3A3G3a3B3"
