"transcriber","alignment"
"C","e4F4e4d4C4d4e4d4C4d4C4b3C4--e4d4C4b3a3G3a3--b3"
"ss-pnn","e4F4D4d4D4--e4C4D4b3B3b3C4d4e4D4C4b3A3G3a3A3b3"
