"transcriber","alignment"
"A","B3D4B3d4b3B3D4B3C4D4B3C4B3D4b3C4A3B3G3D4b3B3D4b3B3D4B3d4"
"tony (frame)","--D4b3A3b3--D4B3b3A3D4b3--D4b3----B3b3D4--B3--b3D4C4B3d4"
