"transcriber","alignment"
"Pub","F4e4b3e4g4F4e4g4F4e4b3e4F4e4C4b3e4G4F4e4C4b3e4F4e4C4b3e4g4F4e4b3e4C4b3e4C4b3e4C4b3e4C4b3"
"stf","F4E4--e4g4--e4E4--e4C4e4------b3e4E4d4e4E4--------------g4--e4b3d4----e4d4B3d4B3--------"
