"transcriber","alignment"
"B","G3F3b3A3a3G3F3G3b3A3b3A3G3F3--C4A3C4B3--"
"melodia","G3F3b3A3a3G3F3G3b3A3B3A3G3F3d4C4B3C4G3b3"
