"transcriber","alignment"
"C","a3d4--e4E4g4e4E4g4e4E4e4d4C4d4C4d4e4E4g4E4e4E4e4g4E4e4d4B3d4e4E4e4g4E4e4E4g4e4E4e4d4B3d4"
"tony (frame)","d4D4E4e4E4F4--E4g4e4E4F4e4--d4C4d4--E4g4E4F4E4F4----e4D4--d4e4F4----E4e4E4F4e4E4D4C4--d4"
