"transcriber","alignment"
"B","G3F3b3A3a3G3F3G3b3A3b3A3G3F3C4A3C4B3------"
"crepe","G3F3b3A3a3G3F3G3b3A3B3A3a3F3d4--C4B3d4G3b3"
