"transcriber","alignment"
"C","B3b3a3b3a3G3b3a3b3a3G3E3e3d3e3E3a3G3E3e3"
"madmom","A3b3B3b3a3--b3a3G3a3G3b3a3E3e3--a3--E3e3"
