"transcriber","alignment"
"Cons","--B3b3a3G3b3a3b3a3b3a3G3F3E3D3e3E3A3a3E3e3E3e3"
"tony (frame)","b3B3b3a3G3b3a3--------G3e3d3--e3E3--a3G3--E3--"
