"transcriber","alignment"
"A","b1----e3e3e3E3e3D3e3B2B2----e3e3e3D3C3e3D3C3"
"B","C3C3C3F3F3F3F3E3D3F3C3C3C3--F3F3F3E3D3F3E3D3"
"C","C3C3C3F3F3F3F3E3D3F3C3C3C3C3F3F3F3E3D3F3E3D3"
