"transcriber","alignment"
"A","A3d4D4E4E4E4E4g4E4E4g4E4E4g4E4e4D4d4D4E4g4E4E4E4E4g4E4D4d4D4E4E4E4--E4g4D4E4E4g4D4E4E4g4--E4D4C4D4--"
"B","A3--D4E4F4F4F4G4E4F4G4E4F4E4D4d4D4d4D4E4F4G4E4F4E4F4E4D4C4D4E4F4F4F4E4G4F4E4F4F4G4E4F4F4F4E4D4C4D4D4"
