"transcriber","alignment"
"Cons","b3b3b3b3b3D4F4b4g4a4b4b4g4e4d4b3a3d4b3a3a3"
"B","b3b3b3b3b3D4F4b4g4a4b4b4g4e4d4b3a3d4b3a3a3"
