"transcriber","alignment"
"Cons","B3d4B3e4B3A3B3d4B3e4B3A3A4A3B3d4B3e4B3A3B3d4B3"
"C","B3C4B3D4B3A3B3C4B3D4B3A3A4A3B3C4B3D4B3A3B3C4B3"
