"transcriber","alignment"
"Cons","e5d5d5B4A4--B4F4A4G4D4G4G4D5--d5--B4e5d5g4e5d5B4a4B4"
"Pub","e5d5d5B4a4a4B4E4g4g4g4d4E4g4g4d5d5B4e5d5g4d5d5B4a4B4"
